Processed 365, Round: 82, Time: 11.17s
Processed 727, Round: 1, Time: 464.41s
Processed 630, Round: 43, Time: 21.15s
Processed 393, Round: 6, Time: 133.33s
Processed 486, Round: 1, Time: 467.13s
Processed 702, Round: 7, Time: 116.84s
Processed 90, Round: 36, Time: 25.30s
Processed 463, Round: 0, Time: 936.48s
Processed 365, Round: 83, Time: 11.17s
Processed 815, Round: 41, Time: 22.48s
Processed 338, Round: 26, Time: 35.03s
Processed 568, Round: 3, Time: 236.62s
Processed 905, Round: 1, Time: 473.24s
Processed 113, Round: 10, Time: 86.06s
Processed 916, Round: 3, Time: 237.23s
Processed 365, Round: 84, Time: 11.17s
Processed 630, Round: 44, Time: 21.16s
Processed 993, Round: 3, Time: 239.10s
Processed 919, Round: 17, Time: 53.18s
Processed 589, Round: 2, Time: 319.84s
Processed 776, Round: 1, Time: 480.23s
Processed 154, Round: 22, Time: 41.76s
Processed 26, Round: 0, Time: 960.74s
Processed 365, Round: 85, Time: 11.16s
Processed 90, Round: 37, Time: 25.28s
Processed 815, Round: 42, Time: 22.47s
Processed 930, Round: 12, Time: 74.49s
Processed 365, Round: 86, Time: 11.17s
Processed 24, Round: 3, Time: 243.21s
Processed 630, Round: 45, Time: 21.14s
Processed 338, Round: 27, Time: 35.03s
Processed 365, Round: 87, Time: 11.17s
Processed 573, Round: 0, Time: 983.96s
Processed 90, Round: 38, Time: 25.30s
Processed 989, Round: 0, Time: 986.69s
Processed 815, Round: 43, Time: 22.49s
Processed 630, Round: 46, Time: 21.15s
Processed 365, Round: 88, Time: 11.16s
Processed 154, Round: 23, Time: 41.75s
Processed 688, Round: 0, Time: 1002.88s
Processed 365, Round: 89, Time: 11.18s
Processed 997, Round: 0, Time: 1010.69s
Processed 919, Round: 18, Time: 53.19s
Processed 90, Round: 39, Time: 25.28s
Processed 815, Round: 44, Time: 22.47s
Processed 361, Round: 10, Time: 92.21s
Processed 630, Round: 47, Time: 21.15s
Processed 338, Round: 28, Time: 35.03s
Processed 365, Round: 90, Time: 11.16s
Processed 902, Round: 1, Time: 509.95s
Processed 175, Round: 2, Time: 340.06s
Processed 918, Round: 1, Time: 511.94s
Processed 365, Round: 91, Time: 11.17s
Processed 113, Round: 11, Time: 86.07s
Processed 815, Round: 45, Time: 22.48s
Processed 533, Round: 1, Time: 517.65s
Processed 630, Round: 48, Time: 21.15s
Processed 682, Round: 2, Time: 345.53s
Processed 90, Round: 40, Time: 25.29s
Processed 250, Round: 5, Time: 172.98s
Processed 174, Round: 2, Time: 346.34s
Processed 365, Round: 92, Time: 11.15s
Processed 930, Round: 13, Time: 74.49s
Processed 154, Round: 24, Time: 41.74s
Processed 365, Round: 93, Time: 11.16s
Processed 338, Round: 29, Time: 35.02s
Processed 702, Round: 8, Time: 116.84s
Processed 726, Round: 1, Time: 526.06s
Processed 940, Round: 2, Time: 350.72s
Processed 774, Round: 0, Time: 1055.74s
Processed 580, Round: 0, Time: 1056.73s
Processed 815, Round: 46, Time: 22.49s
Processed 630, Round: 49, Time: 21.16s
Processed 631, Round: 0, Time: 1058.49s
Processed 365, Round: 94, Time: 11.17s
Processed 90, Round: 41, Time: 25.29s
Processed 513, Round: 5, Time: 177.21s
Processed 888, Round: 1, Time: 531.69s
Processed 919, Round: 19, Time: 53.20s
Processed 689, Round: 0, Time: 1066.63s
Processed 393, Round: 7, Time: 133.33s
Processed 522, Round: 0, Time: 1067.76s
Processed 365, Round: 95, Time: 11.16s
Processed 641, Round: 2, Time: 357.86s
Processed 549, Round: 0, Time: 1074.29s
Processed 840, Round: 0, Time: 1076.32s
Processed 979, Round: 0, Time: 1078.37s
Processed 630, Round: 50, Time: 21.15s
Processed 815, Round: 47, Time: 22.48s
Processed 847, Round: 4, Time: 216.07s
Processed 365, Round: 96, Time: 11.17s
Processed 887, Round: 0, Time: 1084.21s
Processed 466, Round: 0, Time: 1084.86s
Processed 338, Round: 30, Time: 35.03s
Processed 154, Round: 25, Time: 41.76s
Processed 372, Round: 0, Time: 1086.45s
Processed 90, Round: 42, Time: 25.28s
Processed 287, Round: 4, Time: 218.42s
Processed 559, Round: 2, Time: 364.28s
